rank,candidate_id,final_score,semantic_fit_score,skills_match_score,experience_fit_score,employer_tier_score,location_fit_score,behavioral_reliability_multiplier,profile_completeness,applied_penalties,reasoning
250,CAND_0022570,0.1481,0.4766,0.3712,1.0,0.3393,0.6,0.499,0.8,consulting_penalty,"Siya Desai brings 7y of ML/AI experience, most recently at TCS as Analytics Engineer. Strong hands-on match on Milvus, Weaviate, MLflow. Willing to relocate from Sydney. Available in 30 days. Note: includes consulting history, recent inactivity."
251,CAND_0019288,0.148,0.6585,0.2161,0.85,0.5176,1.0,0.3198,0.8,none,"Ved Dutta brings 5y of ML/AI experience, most recently at Paytm as AI Research Engineer. Strong hands-on match on pgvector, TensorFlow, FAISS. Based in Noida, Uttar Pradesh. Available in 30 days. Note: lower recruiter responsiveness."
252,CAND_0011162,0.1479,0.6269,0.3185,0.85,0.6103,0.85,0.2805,1.0,none,"Nisha Sharma brings 5y of ML/AI experience, most recently at upGrad as Recommendation Systems Engineer. Strong hands-on match on FAISS, Pinecone, Milvus. Willing to relocate from Coimbatore, Tamil Nadu. Available in 90 days · Active GitHub contributor. Note: longer notice period."
253,CAND_0005525,0.1477,0.5921,0.221,0.85,0.4882,0.3,0.315,1.0,consulting_penalty,"Pranav Arora brings 9y of ML/AI experience, most recently at Wipro as Mechanical Engineer. Strong hands-on match on FastAPI, Sentence Transformers, Docker. Based in Bhubaneswar, Odisha. Available in 30 days · Active GitHub contributor. Note: includes consulting history, lower recruiter responsiveness, recent inactivity."
254,CAND_0089917,0.1475,0.5087,0.3441,0.85,0.7143,1.0,0.3034,0.8,none,"Aryan Banerjee brings 5y of ML/AI experience, most recently at Initech as Data Engineer. Strong hands-on match on PyTorch, Elasticsearch, Milvus. Willing to relocate from Bangalore, Karnataka. Available in 60 days. Note: lower recruiter responsiveness, recent inactivity."
255,CAND_0053422,0.1469,0.6236,0.3029,1.0,0.5333,0.3,0.2683,1.0,none,"Yash Subramanian brings 6y of ML/AI experience, most recently at Aganitha as Data Scientist. Strong hands-on match on Qdrant, RAG, TensorFlow. Based in Vizag, Andhra Pradesh. Available in 45 days · Active GitHub contributor. Note: lower recruiter responsiveness."
256,CAND_0079447,0.1468,0.593,0.1235,1.0,0.5,0.65,0.2772,1.0,none,"Ishaan Gupta brings 7y of ML/AI experience, most recently at Dunder Mifflin as Mechanical Engineer. Strong hands-on match on Kubernetes, FAISS, Information Retrieval. Based in Kolkata, West Bengal. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
257,CAND_0090668,0.1468,0.6006,0.1934,1.0,0.5429,0.3,0.3724,0.8,consulting_penalty,"Meera Bose brings 7y of ML/AI experience, most recently at Hooli as Civil Engineer. Strong hands-on match on Information Retrieval, Sentence Transformers, FAISS. Based in Kochi, Kerala. Available in 60 days. Note: includes consulting history, recent inactivity."
258,CAND_0058575,0.1467,0.6422,0.492,0.85,0.5565,1.0,0.2323,1.0,none,"Suresh Dutta brings 5y of ML/AI experience, most recently at Krutrim as AI Engineer. Strong hands-on match on Pinecone, PyTorch, Sentence Transformers. Willing to relocate from Chennai, Tamil Nadu. Available in 90 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity, longer notice period."
259,CAND_0043188,0.1462,0.5535,0.2682,1.0,0.4383,0.3,0.4067,0.8,consulting_penalty,"Priya Dalal brings 6y of ML/AI experience, most recently at Acme Corp as Full Stack Developer. Strong hands-on match on MLflow, Weaviate, Kubernetes. Based in Chandigarh, Chandigarh. Available in 60 days. Note: includes consulting history, recent inactivity."
260,CAND_0055548,0.1456,0.605,0.0963,0.85,0.548,0.3,0.3043,1.0,none,"Kabir Joshi brings 8y of ML/AI experience, most recently at Hooli as Civil Engineer. Strong hands-on match on Sentence Transformers, FAISS, RAG. Based in Coimbatore, Tamil Nadu. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
261,CAND_0058325,0.1454,0.5506,0.2683,0.85,0.5,0.85,0.325,0.8,none,"Atharv Khanna brings 5y of ML/AI experience, most recently at PharmEasy as Backend Engineer. Strong hands-on match on MLflow, PyTorch, RAG. Willing to relocate from Jaipur, Rajasthan. Available in 60 days. Note: lower recruiter responsiveness, recent inactivity."
262,CAND_0074648,0.1452,0.6697,0.3657,0.6,0.8,0.3,0.2788,0.8,none,"Aadhya Nair brings 4y of ML/AI experience, most recently at Flipkart as AI Research Engineer. Strong hands-on match on Qdrant, PyTorch, Pinecone. Based in Ahmedabad, Gujarat. Available in 90 days. Note: recent inactivity, longer notice period."
263,CAND_0033562,0.1451,0.6052,0.1354,0.6,0.4537,1.0,0.3963,0.65,consulting_penalty,"Sai Ghosh brings 4y of ML/AI experience, most recently at Acme Corp as Mechanical Engineer. Strong hands-on match on Information Retrieval, RAG, Pinecone. Based in Mumbai, Maharashtra. Available in 60 days. Note: includes consulting history, incomplete profile details."
264,CAND_0042425,0.1446,0.6542,0.3231,0.35,0.25,0.3,0.5891,1.0,consulting_penalty,"Shreya Sethi brings 3y of ML/AI experience, most recently at Infosys as AI Specialist. Strong hands-on match on Weaviate, Pinecone, MLflow. Based in Vizag, Andhra Pradesh. Available in 30 days · Active GitHub contributor. Note: includes consulting history, recent inactivity."
265,CAND_0040310,0.1439,0.6416,0.2457,0.6,0.6,0.85,0.2842,1.0,none,"Vivaan Verma brings 4y of ML/AI experience, most recently at Mad Street Den as AI Research Engineer. Strong hands-on match on RAG, Elasticsearch, Qdrant. Willing to relocate from Vizag, Andhra Pradesh. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
266,CAND_0051793,0.1437,0.6187,0.1498,1.0,0.5158,0.3,0.2892,1.0,none,"Advik Kumar brings 6y of ML/AI experience, most recently at Dunder Mifflin as Mechanical Engineer. Strong hands-on match on Pinecone, Sentence Transformers, Information Retrieval. Based in Kochi, Kerala. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness."
267,CAND_0049340,0.1434,0.6677,0.3474,0.35,0.5591,1.0,0.2618,1.0,none,"Suresh Mehta brings 3y of ML/AI experience, most recently at Mad Street Den as Junior ML Engineer. Strong hands-on match on MLflow, Pinecone, TensorFlow. Willing to relocate from Noida, Uttar Pradesh. Available in 90 days · Active GitHub contributor. Note: recent inactivity, longer notice period."
268,CAND_0058146,0.1434,0.6843,0.17,0.85,0.4783,0.3,0.3484,1.0,consulting_penalty,"Rahul Arora brings 5y of ML/AI experience, most recently at PolicyBazaar as AI Research Engineer. Strong hands-on match on Information Retrieval, Qdrant, MLflow. Based in Ahmedabad, Gujarat. Available in 45 days · Active GitHub contributor. Note: includes consulting history, recent inactivity."
269,CAND_0001872,0.1432,0.5399,0.0659,1.0,0.3611,0.3,0.5683,0.8,consulting_penalty,"Rohan Kumar brings 7y of ML/AI experience, most recently at Dunder Mifflin as QA Engineer. Strong hands-on match on MLflow, Deep Learning, Docker. Based in Ahmedabad, Gujarat. Available in 30 days. Note: includes consulting history, recent inactivity."
270,CAND_0079514,0.1421,0.5616,0.0934,0.85,0.5781,0.3,0.3654,0.8,none,"Vihaan Chatterjee brings 5y of ML/AI experience, most recently at Initech as Business Analyst. Strong hands-on match on Docker, Sentence Transformers, Pinecone. Based in Trivandrum, Kerala. Available in 30 days. Note: lower recruiter responsiveness, recent inactivity."
271,CAND_0098288,0.1413,0.5897,0.2505,1.0,0.6162,1.0,0.2587,1.0,none,"Nikhil Naidu brings 6y of ML/AI experience, most recently at Vedantu as Junior ML Engineer. Strong hands-on match on pgvector, scikit-learn, Information Retrieval. Willing to relocate from Mumbai, Maharashtra. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
272,CAND_0080344,0.1412,0.6654,0.3185,0.6,0.6947,1.0,0.2772,1.0,none,"Rohan Mishra brings 4y of ML/AI experience, most recently at Zoho as Senior Software Engineer (ML). Strong hands-on match on PyTorch, Sentence Transformers, scikit-learn. Willing to relocate from Hyderabad, Telangana. Available in 90 days. Note: longer notice period."
273,CAND_0033352,0.1398,0.5764,0.2951,0.85,0.5254,0.3,0.3272,0.8,none,"Aarohi Dutta brings 5y of ML/AI experience, most recently at Ola as Computer Vision Engineer. Strong hands-on match on FAISS, Sentence Transformers, Pinecone. Based in Indore, Madhya Pradesh. Available in 60 days. Note: lower recruiter responsiveness."
274,CAND_0062751,0.1397,0.5939,0.1811,0.6,0.5,1.0,0.3465,0.8,none,"Pooja Gupta brings 9y of ML/AI experience, most recently at Acme Corp as Mechanical Engineer. Strong hands-on match on FAISS, Pinecone, Information Retrieval. Willing to relocate from Delhi, Delhi. Available in 30 days. Note: lower recruiter responsiveness, recent inactivity."
275,CAND_0017329,0.1395,0.5253,0.1309,0.85,0.3949,1.0,0.3675,1.0,consulting_penalty,"Advaith Agarwal brings 9y of ML/AI experience, most recently at Infosys as Content Writer. Strong hands-on match on Information Retrieval, Sentence Transformers, RAG. Willing to relocate from Gurgaon, Haryana. Available in 60 days · Active GitHub contributor. Note: includes consulting history, recent inactivity."
276,CAND_0024620,0.1392,0.7013,0.2,0.85,0.5343,0.6,0.2683,1.0,none,"Avni Rao brings 5y of ML/AI experience, most recently at PharmEasy as AI Engineer. Strong hands-on match on BM25, Elasticsearch, Information Retrieval. Willing to relocate from New York. Available in 45 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
277,CAND_0001940,0.139,0.6002,0.4108,0.6,0.5,0.6,0.2958,0.8,none,"Dhruv Sen brings 4y of ML/AI experience, most recently at Nykaa as AI Research Engineer. Strong hands-on match on Elasticsearch, PyTorch, FAISS. Willing to relocate from San Francisco. Available in 90 days. Note: recent inactivity, longer notice period."
278,CAND_0023544,0.1389,0.4879,0.256,0.6,0.4227,0.3,0.4712,0.8,consulting_penalty,"Pari Tiwari brings 11y of ML/AI experience, most recently at Dunder Mifflin as Content Writer. Strong hands-on match on Docker, RAG, FAISS. Based in Coimbatore, Tamil Nadu. Available in 30 days. Note: includes consulting history, lower recruiter responsiveness, recent inactivity."
279,CAND_0053662,0.1387,0.5649,0.2975,0.6,0.5,0.6,0.3008,1.0,none,"Nisha Pandey brings 4y of ML/AI experience, most recently at PharmEasy as Data Engineer. Strong hands-on match on Qdrant, Pinecone, MLflow. Willing to relocate from San Francisco. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
280,CAND_0089726,0.1384,0.5411,0.4235,0.35,0.3716,0.3,0.378,1.0,consulting_penalty,"Aanya Khanna brings 3y of ML/AI experience, most recently at Genpact AI as Junior ML Engineer. Strong hands-on match on MLflow, Pinecone, Sentence Transformers. Based in Bhubaneswar, Odisha. Available in 60 days · Active GitHub contributor. Note: includes consulting history, lower recruiter responsiveness."
281,CAND_0026726,0.138,0.5349,0.1827,0.6,0.4918,1.0,0.3135,1.0,consulting_penalty,"Kavya Menon brings 11y of ML/AI experience, most recently at Initech as Content Writer. Strong hands-on match on Pinecone, Sentence Transformers, Information Retrieval. Based in Delhi, Delhi. Available in 30 days · Active GitHub contributor. Note: includes consulting history, lower recruiter responsiveness, recent inactivity."
282,CAND_0080204,0.1379,0.5948,0.163,1.0,0.4029,1.0,0.3347,0.8,consulting_penalty,"Anjali Dutta brings 7y of ML/AI experience, most recently at Dunder Mifflin as Mechanical Engineer. Strong hands-on match on Kubernetes, Sentence Transformers, RAG. Based in Hyderabad, Telangana. Available in 60 days. Note: includes consulting history, lower recruiter responsiveness, recent inactivity."
283,CAND_0092255,0.1379,0.6768,0.2928,0.85,0.4467,1.0,0.2487,1.0,consulting_penalty,"Jay Chatterjee brings 5y of ML/AI experience, most recently at InMobi as ML Engineer. Strong hands-on match on PyTorch, RAG, Weaviate. Based in Noida, Uttar Pradesh. Available in 60 days · Active GitHub contributor. Note: includes consulting history, lower recruiter responsiveness."
284,CAND_0092568,0.1376,0.6945,0.3585,0.85,0.6147,1.0,0.2553,1.0,consulting_penalty,"Yash Bhatia brings 5y of ML/AI experience, most recently at TCS as AI Specialist. Strong hands-on match on Deep Learning, MLflow, Pinecone. Willing to relocate from Noida, Uttar Pradesh. Available in 60 days · Active GitHub contributor. Note: includes consulting history, lower recruiter responsiveness, recent inactivity."
285,CAND_0099005,0.1375,0.5162,0.1794,0.6,0.485,0.65,0.3856,0.8,consulting_penalty,"Anika Trivedi brings 11y of ML/AI experience, most recently at Acme Corp as Content Writer. Strong hands-on match on FAISS, Pinecone, RAG. Based in Bangalore, Karnataka. Available in 60 days. Note: includes consulting history, recent inactivity."
286,CAND_0013090,0.1367,0.6277,0.1757,0.35,0.5,1.0,0.2772,1.0,none,"Myra Naidu brings 3y of ML/AI experience, most recently at Dunder Mifflin as Civil Engineer. Strong hands-on match on Sentence Transformers, Information Retrieval, Docker. Based in Delhi, Delhi. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
287,CAND_0093799,0.1367,0.6499,0.2655,0.35,0.5,1.0,0.2319,1.0,none,"Vivaan Menon brings 3y of ML/AI experience, most recently at InMobi as Data Scientist. Strong hands-on match on Information Retrieval, PyTorch, Sentence Transformers. Willing to relocate from Noida, Uttar Pradesh. Available in 90 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity, longer notice period."
288,CAND_0095579,0.1366,0.6029,0.1091,1.0,0.5,0.3,0.3381,0.8,none,"Kabir Reddy brings 6y of ML/AI experience, most recently at Dunder Mifflin as Mechanical Engineer. Strong hands-on match on Pinecone, Sentence Transformers, FAISS. Based in Vizag, Andhra Pradesh. Available in 60 days. Note: lower recruiter responsiveness, recent inactivity."
289,CAND_0087723,0.1364,0.5761,0.1597,0.6,0.5291,0.6,0.3575,0.8,none,"Anjali Agarwal brings 12y of ML/AI experience, most recently at Dunder Mifflin as Project Manager. Strong hands-on match on Pinecone, FAISS, Sentence Transformers. Willing to relocate from London. Available in 30 days. Note: lower recruiter responsiveness, recent inactivity."
290,CAND_0016259,0.1357,0.5076,0.1552,1.0,0.4244,0.3,0.3909,0.8,consulting_penalty,"Kabir Mehta brings 7y of ML/AI experience, most recently at TCS as Content Writer. Strong hands-on match on FAISS, RAG, Pinecone. Based in Ahmedabad, Gujarat. Available in 60 days. Note: includes consulting history, recent inactivity."
291,CAND_0029135,0.1355,0.5874,0.249,0.85,0.4588,0.85,0.3719,0.8,consulting_penalty,"Yash Bose brings 5y of ML/AI experience, most recently at Meesho as AI Specialist. Strong hands-on match on MLflow, Weaviate, FAISS. Willing to relocate from Ahmedabad, Gujarat. Available in 60 days. Note: includes consulting history, lower recruiter responsiveness, recent inactivity."
292,CAND_0005981,0.1352,0.5644,0.1058,1.0,0.5,0.3,0.28,1.0,none,"Pooja Shetty brings 6y of ML/AI experience, most recently at Acme Corp as Project Manager. Strong hands-on match on FAISS, Kubernetes, RAG. Based in Jaipur, Rajasthan. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
293,CAND_0066248,0.1352,0.5066,0.2782,1.0,0.5658,1.0,0.2583,1.0,none,"Ananya Sharma brings 6y of ML/AI experience, most recently at Initech as Analytics Engineer. Strong hands-on match on BM25, scikit-learn, pgvector. Based in Mumbai, Maharashtra. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
294,CAND_0067893,0.1347,0.5321,0.2181,1.0,0.4537,0.3,0.4075,0.85,consulting_penalty,"Myra Tiwari brings 6y of ML/AI experience, most recently at Flipkart as QA Engineer. Strong hands-on match on MLflow, Qdrant, Sentence Transformers. Based in Indore, Madhya Pradesh. Available in 60 days · Active GitHub contributor. Note: includes consulting history, recent inactivity."
295,CAND_0048534,0.1338,0.6122,0.3864,0.35,0.375,1.0,0.3528,1.0,consulting_penalty,"Mira Dutta brings 3y of ML/AI experience, most recently at Genpact AI as Computer Vision Engineer. Strong hands-on match on RAG, Pinecone, Information Retrieval. Willing to relocate from Chennai, Tamil Nadu. Available in 60 days · Active GitHub contributor. Note: includes consulting history, recent inactivity."
296,CAND_0041478,0.1325,0.524,0.0815,0.85,0.4057,0.85,0.427,0.8,consulting_penalty,"Sanjay Bhatia brings 9y of ML/AI experience, most recently at Acme Corp as Content Writer. Strong hands-on match on FAISS, Pinecone, Sentence Transformers. Willing to relocate from Ahmedabad, Gujarat. Available in 30 days. Note: includes consulting history, lower recruiter responsiveness, recent inactivity."
297,CAND_0041402,0.131,0.6123,0.2515,1.0,0.528,0.3,0.2592,1.0,none,"Karan Chowdary brings 6y of ML/AI experience, most recently at Ola as AI Specialist. Strong hands-on match on scikit-learn, RAG, Information Retrieval. Based in Vizag, Andhra Pradesh. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness."
298,CAND_0020954,0.1309,0.5168,0.2688,1.0,0.6072,1.0,0.2424,1.0,none,"Reyansh Reddy brings 7y of ML/AI experience, most recently at Swiggy as Senior Software Engineer. Strong hands-on match on Docker, MLflow, RAG. Based in Pune, Maharashtra. Available in 90 days · Active GitHub contributor. Note: longer notice period."
299,CAND_0054805,0.1298,0.4861,0.1103,1.0,0.515,0.3,0.2794,1.0,none,"Zara Saxena brings 6y of ML/AI experience, most recently at Hooli as DevOps Engineer. Strong hands-on match on Sentence Transformers, Pinecone, Kubernetes. Based in Ahmedabad, Gujarat. Available in 90 days · Active GitHub contributor. Note: recent inactivity, longer notice period."
300,CAND_0092799,0.1295,0.5337,0.4321,0.85,0.3582,0.3,0.4851,0.8,consulting_penalty,"Manish Dutta brings 5y of ML/AI experience, most recently at Swiggy as Backend Engineer. Strong hands-on match on RAG, pgvector, FastAPI. Based in Jaipur, Rajasthan. Available in 30 days. Note: includes consulting history, recent inactivity."
301,CAND_0032092,0.129,0.6176,0.2107,0.1,0.477,0.65,0.294,1.0,consulting_penalty,"Aanya Chatterjee brings 14y of ML/AI experience, most recently at Acme Corp as Civil Engineer. Strong hands-on match on Sentence Transformers, FAISS, Information Retrieval. Based in Bangalore, Karnataka. Available in 60 days · Active GitHub contributor. Note: includes consulting history, lower recruiter responsiveness, recent inactivity."
302,CAND_0074325,0.1289,0.6883,0.3309,0.35,0.6,1.0,0.2796,0.8,none,"Tanya Dalal brings 3y of ML/AI experience, most recently at Haptik as AI Research Engineer. Strong hands-on match on Deep Learning, Pinecone, Milvus. Based in Gurgaon, Haryana. Available in 45 days. Note: lower recruiter responsiveness, recent inactivity."
303,CAND_0002545,0.1288,0.5219,0.1646,1.0,0.5226,0.3,0.2677,1.0,none,"Aarav Reddy brings 7y of ML/AI experience, most recently at Hooli as Content Writer. Strong hands-on match on Sentence Transformers, FAISS, Pinecone. Based in Jaipur, Rajasthan. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness."
304,CAND_0047492,0.1288,0.6954,0.2642,0.6,0.5,0.85,0.2414,1.0,none,"Yash Bose brings 4y of ML/AI experience, most recently at PolicyBazaar as ML Engineer. Strong hands-on match on Information Retrieval, PyTorch, pgvector. Willing to relocate from Vizag, Andhra Pradesh. Available in 90 days · Active GitHub contributor. Note: longer notice period."
305,CAND_0065277,0.1287,0.6167,0.4379,1.0,0.6,1.0,0.1994,1.0,none,"Naina Sethi brings 6y of ML/AI experience, most recently at Aganitha as Computer Vision Engineer. Strong hands-on match on Sentence Transformers, Deep Learning, RAG. Based in Mumbai, Maharashtra. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
306,CAND_0024947,0.1286,0.6581,0.2453,1.0,0.25,0.3,0.553,1.0,consulting_penalty,"Naina Kumar brings 6y of ML/AI experience, most recently at HCL as AI Research Engineer. Strong hands-on match on Milvus, pgvector, Information Retrieval. Based in Trivandrum, Kerala. Available in 30 days · Active GitHub contributor. Note: includes consulting history, recent inactivity."
307,CAND_0008202,0.1285,0.6563,0.3885,0.85,0.5567,0.3,0.2975,0.8,consulting_penalty,"Anjali Patel brings 5y of ML/AI experience, most recently at Yellow.ai as Senior Software Engineer (ML). Strong hands-on match on FAISS, PyTorch, Deep Learning. Based in Vizag, Andhra Pradesh. Available in 60 days. Note: includes consulting history, lower recruiter responsiveness, recent inactivity."
308,CAND_0061102,0.1284,0.6484,0.2066,0.1,0.5,1.0,0.2558,1.0,none,"Aanya Joshi brings 2y of ML/AI experience, most recently at Acme Corp as Civil Engineer. Strong hands-on match on RAG, Pinecone, FAISS. Willing to relocate from Mumbai, Maharashtra. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
309,CAND_0021488,0.1283,0.5209,0.2309,1.0,0.3766,1.0,0.3947,0.65,consulting_penalty,"Nisha Malhotra brings 6y of ML/AI experience, most recently at Nykaa as Data Engineer. Strong hands-on match on Elasticsearch, Information Retrieval, RAG. Based in Hyderabad, Telangana. Available in 60 days. Note: includes consulting history, lower recruiter responsiveness, recent inactivity, incomplete profile details."
310,CAND_0056881,0.1275,0.6419,0.5482,0.6,0.7333,0.3,0.255,0.8,none,"Reyansh Chowdary brings 4y of ML/AI experience, most recently at Zomato as Machine Learning Engineer. Strong hands-on match on Information Retrieval, Pinecone, Elasticsearch. Based in Trivandrum, Kerala. Available in 90 days. Note: longer notice period."
311,CAND_0090155,0.1273,0.6703,0.2,0.85,0.5783,1.0,0.2394,1.0,none,"Sai Chowdary brings 5y of ML/AI experience, most recently at Swiggy as ML Engineer. Strong hands-on match on Pinecone, Milvus, Qdrant. Based in Pune, Maharashtra. Available in 90 days · Active GitHub contributor. Note: lower recruiter responsiveness, longer notice period."
312,CAND_0025128,0.1267,0.6252,0.1687,0.6,0.4686,1.0,0.2955,0.65,consulting_penalty,"Sanjay Pillai brings 11y of ML/AI experience, most recently at TCS as Civil Engineer. Strong hands-on match on Sentence Transformers, Kubernetes, RAG. Willing to relocate from Chennai, Tamil Nadu. Available in 60 days. Note: includes consulting history, lower recruiter responsiveness, recent inactivity, incomplete profile details."
313,CAND_0091254,0.1264,0.6323,0.3185,0.85,0.6,0.3,0.2857,0.8,none,"Avni Agarwal brings 5y of ML/AI experience, most recently at Zoho as AI Research Engineer. Strong hands-on match on Elasticsearch, scikit-learn, PyTorch. Based in Chandigarh, Chandigarh. Available in 60 days. Note: lower recruiter responsiveness, recent inactivity."
314,CAND_0010815,0.1263,0.5463,0.1342,1.0,0.5622,0.6,0.2911,0.8,none,"Atharv Kapoor brings 6y of ML/AI experience, most recently at Wayne Enterprises as Business Analyst. Strong hands-on match on Sentence Transformers, Information Retrieval, FAISS. Willing to relocate from Singapore. Available in 60 days. Note: lower recruiter responsiveness, recent inactivity."
315,CAND_0085252,0.1261,0.6152,0.1576,0.1,0.6,0.3,0.3591,0.8,none,"Meera Khanna brings 1y of ML/AI experience, most recently at Initech as Project Manager. Strong hands-on match on Information Retrieval, FAISS, Kubernetes. Based in Vizag, Andhra Pradesh. Available in 30 days. Note: lower recruiter responsiveness, recent inactivity."
316,CAND_0069795,0.1258,0.589,0.1992,0.35,0.4395,0.6,0.3493,0.8,consulting_penalty,"Tanya Shetty brings 12y of ML/AI experience, most recently at Pied Piper as Mechanical Engineer. Strong hands-on match on Docker, Sentence Transformers, Information Retrieval. Willing to relocate from Berlin. Available in 60 days. Note: includes consulting history, recent inactivity."
317,CAND_0002704,0.1254,0.5738,0.3539,1.0,0.512,1.0,0.2401,0.8,none,"Ayaan Agarwal brings 7y of ML/AI experience, most recently at InMobi as Software Engineer. Strong hands-on match on Qdrant, Information Retrieval, Kubernetes. Willing to relocate from Kolkata, West Bengal. Available in 60 days. Note: lower recruiter responsiveness, recent inactivity."
318,CAND_0036520,0.1254,0.593,0.4453,0.6,0.6,0.3,0.2297,1.0,none,"Shreya Joshi brings 4y of ML/AI experience, most recently at Glance as Data Scientist. Strong hands-on match on BM25, Qdrant, RAG. Based in Indore, Madhya Pradesh. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness."
319,CAND_0056584,0.1252,0.6886,0.2041,0.35,0.5,0.85,0.276,0.8,none,"Aisha Bhatia brings 3y of ML/AI experience, most recently at BYJU'S as AI Specialist. Strong hands-on match on RAG, Weaviate, Qdrant. Willing to relocate from Chandigarh, Chandigarh. Available in 90 days. Note: lower recruiter responsiveness, longer notice period."
320,CAND_0041016,0.1249,0.5882,0.214,0.85,0.7246,0.65,0.3168,0.8,consulting_penalty,"Kavya Kapoor brings 5y of ML/AI experience, most recently at Zomato as Junior ML Engineer. Strong hands-on match on Milvus, Sentence Transformers, Deep Learning. Based in Bangalore, Karnataka. Available in 90 days. Note: includes consulting history, longer notice period."
321,CAND_0043304,0.1247,0.6711,0.2922,1.0,0.5039,0.85,0.231,1.0,consulting_penalty,"Aarohi Goyal brings 6y of ML/AI experience, most recently at TCS as Junior ML Engineer. Strong hands-on match on Sentence Transformers, BM25, Qdrant. Willing to relocate from Trivandrum, Kerala. Available in 90 days · Active GitHub contributor. Note: includes consulting history, recent inactivity, longer notice period."
322,CAND_0015478,0.1246,0.6462,0.3283,0.35,0.493,0.65,0.432,0.8,consulting_penalty,"Jay Naidu brings 3y of ML/AI experience, most recently at Tech Mahindra as ML Engineer. Strong hands-on match on Deep Learning, Pinecone, Weaviate. Based in Kolkata, West Bengal. Available in 60 days. Note: includes consulting history, lower recruiter responsiveness, recent inactivity."
323,CAND_0076364,0.1246,0.5349,0.179,0.1,0.5,0.85,0.271,1.0,none,"Deepak Malhotra brings 1y of ML/AI experience, most recently at Globex Inc as Business Analyst. Strong hands-on match on FAISS, Sentence Transformers, RAG. Willing to relocate from Trivandrum, Kerala. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness."
324,CAND_0018653,0.1244,0.6304,0.3317,1.0,0.5538,0.3,0.2448,1.0,none,"Kavya Chowdary brings 6y of ML/AI experience, most recently at Vedantu as ML Engineer. Strong hands-on match on FAISS, RAG, Deep Learning. Based in Kochi, Kerala. Available in 90 days. Note: recent inactivity, longer notice period."
325,CAND_0003506,0.1242,0.6372,0.3856,0.85,0.5232,0.3,0.232,1.0,none,"Dev Khanna brings 5y of ML/AI experience, most recently at Dream11 as Computer Vision Engineer. Strong hands-on match on RAG, TensorFlow, Sentence Transformers. Based in Jaipur, Rajasthan. Available in 90 days · Active GitHub contributor. Note: lower recruiter responsiveness, longer notice period."
326,CAND_0009846,0.124,0.555,0.0914,0.85,0.3714,1.0,0.4165,0.8,consulting_penalty,"Sneha Kumar brings 5y of ML/AI experience, most recently at Globex Inc as Business Analyst. Strong hands-on match on Information Retrieval, FAISS, Pinecone. Based in Pune, Maharashtra. Available in 60 days. Note: includes consulting history, recent inactivity."
327,CAND_0022906,0.1238,0.5621,0.1453,1.0,0.54,0.3,0.257,1.0,none,"Myra Subramanian brings 7y of ML/AI experience, most recently at Dunder Mifflin as Business Analyst. Strong hands-on match on Information Retrieval, Pinecone, RAG. Based in Kochi, Kerala. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness."
328,CAND_0095048,0.1235,0.6018,0.1729,1.0,0.5,0.3,0.285,0.8,none,"Jay Arora brings 7y of ML/AI experience, most recently at Acme Corp as Civil Engineer. Strong hands-on match on Kubernetes, RAG, Information Retrieval. Based in Trivandrum, Kerala. Available in 30 days. Note: lower recruiter responsiveness, recent inactivity."
329,CAND_0001610,0.1232,0.6493,0.7119,0.35,0.618,0.85,0.1919,1.0,none,"Aryan Banerjee brings 3y of ML/AI experience, most recently at Dream11 as Machine Learning Engineer. Strong hands-on match on FAISS, Deep Learning, Pinecone. Willing to relocate from Trivandrum, Kerala. Available in 90 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity, longer notice period."
330,CAND_0032128,0.123,0.5885,0.1029,0.85,0.4139,0.3,0.3038,1.0,consulting_penalty,"Karan Shah brings 5y of ML/AI experience, most recently at Stark Industries as Mechanical Engineer. Strong hands-on match on Pinecone, Information Retrieval, RAG. Based in Trivandrum, Kerala. Available in 60 days · Active GitHub contributor. Note: includes consulting history, lower recruiter responsiveness, recent inactivity."
